Format Version,1.24,Take Name,Take 2025-12-05 04.42.50 PM,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2025-12-05 04.42.51.191 PM,Capture Start Frame,1038231,Total Frames in Take,3273,Total Exported Frames,3273,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Global

Frame,Time (seconds),R.x,R.y,R.z,R.w,P.x,P.y,P.z
65,0.650000,-0.009544,0.000706,-0.721139,0.692724,-357.750305,1437.135254,110.469734
66,0.660000,-0.009579,0.000740,-0.721203,0.692657,-357.753235,1437.130127,110.473457
67,0.670000,-0.009477,0.001000,-0.721061,0.692806,-357.742035,1437.148438,110.469131
68,0.680000,-0.009594,0.000946,-0.721127,0.692736,-357.738159,1437.142456,110.472076
69,0.690000,-0.009371,0.000953,-0.721118,0.692748,-357.747650,1437.131104,110.470917
70,0.700000,-0.009487,0.000958,-0.721015,0.692854,-357.749603,1437.138184,110.468307
71,0.710000,-0.009480,0.000982,-0.721091,0.692775,-357.746979,1437.144653,110.472519
72,0.720000,-0.009551,0.000823,-0.721186,0.692675,-357.756927,1437.136963,110.479164
73,0.730000,-0.009578,0.000894,-0.721206,0.692654,-357.747284,1437.145264,110.478973
74,0.740000,-0.009599,0.000808,-0.721101,0.692763,-357.750153,1437.151978,110.484795
75,0.750000,-0.009498,0.000761,-0.721057,0.692810,-357.755646,1437.145630,110.479584
76,0.760000,-0.009431,0.000798,-0.721055,0.692813,-357.760223,1437.145386,110.478378
77,0.770000,-0.009513,0.000876,-0.721196,0.692666,-357.763947,1437.146484,110.488304
78,0.780000,-0.009507,0.000792,-0.721091,0.692774,-357.749512,1437.146606,110.481499
79,0.790000,-0.009542,0.000703,-0.721204,0.692657,-357.744080,1437.148438,110.476364
80,0.800000,-0.009551,0.000753,-0.721277,0.692581,-357.752686,1437.138306,110.475060
81,0.810000,-0.009512,0.000783,-0.721153,0.692710,-357.758545,1437.134399,110.482513
82,0.820000,-0.009382,0.000857,-0.721044,0.692825,-357.744171,1437.138672,110.477661
83,0.830000,-0.009533,0.000855,-0.721064,0.692802,-357.742859,1437.141357,110.479591
