Frame,Time (seconds),R.x,R.y,R.z,R.w,P.x,P.y,P.z,omegas.x,omegas.y,omegas.z,omega
11,0.11,-0.004986,-0.004719,-0.714676,0.699422,-13.911363,-570.82074,106.483185,0.04942528123006188,-0.01859486798166752,0.1863496733860659,0.19368745006070937
12,0.12,-0.005509,-0.004476,-0.714724,0.69937,-13.948959,-570.818909,106.497498,-0.10798999344883257,-0.04076442819723859,-0.013411159797160899,0.11620428777989093
13,0.13,-0.006058,-0.004082,-0.71473,0.699363,-13.948457,-570.853882,106.511818,-0.1331241531796733,-0.023365993427373888,-0.000914283546282757,0.1351622940137382
14,0.14,-0.004645,-0.004509,-0.715022,0.699072,-13.911806,-570.855835,106.467728,0.25808683628843265,0.1423732435823782,-0.08411097082592356,0.30651853282765595
15,0.15,-0.004814,-0.004431,-0.715108,0.698983,-13.897841,-570.870483,106.500359,-0.03494322093249178,-0.013262589762571154,-0.02452656964854194,0.04470433530511295
16,0.16,-0.004767,-0.004694,-0.714797,0.6993,-13.89273,-570.833008,106.484459,0.044765948138231114,-0.03006300361429841,0.08851974442010135,0.10365095007392928
17,0.17,-0.004696,-0.00433,-0.714903,0.699194,-13.880952,-570.867737,106.490082,-0.0423077485607032,0.061060724860156464,-0.02969848325951041,0.08000223507277052
18,0.18,-0.004301,-0.004686,-0.714942,0.699155,-13.873114,-570.858582,106.476303,0.10606703881173174,0.0066975803899260895,-0.011706384229404065,0.10692106311244463
19,0.19,-0.0048,-0.004686,-0.714782,0.699316,-13.879115,-570.838257,106.488945,-0.06948717586150992,-0.07133790415807702,0.04586172290047541,0.10963969083445729
20,0.2,-0.004622,-0.004532,-0.714995,0.6991,-13.894112,-570.854797,106.489899,0.0024733782532202105,0.046987176017271225,-0.060688372925266076,0.07679186752760801
21,0.21,-0.004581,-0.004618,-0.714913,0.699183,-13.861284,-570.851257,106.48864,0.018181580922986985,-0.006162129557134126,0.023217492270710682,0.030126295372623242
22,0.22,-0.005838,-0.004106,-0.714782,0.699311,-13.914593,-570.857117,106.523849,-0.24874344460384423,-0.10813459579224133,0.03825042890740482,0.27391510975508004
23,0.23,-0.004674,-0.004497,-0.714977,0.699118,-13.87918,-570.86792,106.4972,0.2183100416769005,0.11178430406842722,-0.05627611468016491,0.2516386417395542
24,0.24,-0.004387,-0.004602,-0.714762,0.699339,-13.891211,-570.837646,106.475449,0.05554384268318686,0.026355982779100243,0.061307765316342966,0.08682395047652822
