1729873543.4195027	0	[]
1729873543.4194207	1	(0.057823837964578795, 0.057823837964578795, 0.057823837964578795, 0.057823837964578795, 0.057823837964578795, 0.057823837964578795, 0.057823837964578795, 0.057823837964578795, 0.057823837964578795, 0.057823837964578795, 0.057823837964578795, 0.057823837964578795, 0.057823837964578795, 0.057823837964578795, 0.057823837964578795, 0.057823837964578795, 0.057823837964578795, 0.057823837964578795, 0.057823837964578795, 0.057823837964578795, 0.057823837964578795, 0.057823837964578795, 0.057823837964578795, 0.057823837964578795, 0.057823837964578795, 0.057823837964578795, 0.057823837964578795, 0.057823837964578795, 0.07255490704003209, 0.057823837964578795, 0.057823837964578795, 0.057823837964578795, 0.057823837964578795, 0.057823837964578795, 0.057823837964578795, 0.057823837964578795, 0.057823837964578795, 0.057823837964578795, 0.057823837964578795, 0.057823837964578795, 0.057823837964578795, 0.057823837964578795, 0.057823837964578795, 0.057823837964578795, 0.057823837964578795, 0.057823837964578795, 0.057823837964578795, 0.057823837964578795, 0.057823837964578795, 0.057823837964578795, 0.057823837964578795, 0.057823837964578795, 0.057823837964578795, 0.057823837964578795, 0.057823837964578795, 0.057823837964578795, 0.057823837964578795, 0.057823837964578795, 0.057823837964578795, 0.057823837964578795, 0.057823837964578795, 0.09657636948546466, 0.05069622652880046, 0.057823837964578795, 0.057823837964578795, 0.057823837964578795, 0.057823837964578795, 0.057823837964578795, 0.057823837964578795, 0.057823837964578795, 0.05228052368209235, 0.057823837964578795, 0.057823837964578795, 0.057823837964578795, 0.057823837964578795, 0.057823837964578795, 0.057823837964578795, 0.057823837964578795, 0.057823837964578795, 0.057823837964578795, 0.057823837964578795, 0.057823837964578795, 0.057823837964578795, 0.057823837964578795, 0.057823837964578795, 0.057823837964578795, 0.04719914995151231, 0.057823837964578795, 0.057823837964578795, 0.057823837964578795, 0.057823837964578795, 0.057823837964578795, 0.057823837964578795, 0.057823837964578795, 0.057823837964578795, 0.057823837964578795, 0.057823837964578795, 0.057823837964578795, 0.009201865413276611, 0.057823837964578795)
1729873560.660989	2	(0.09657636948546466, 0.07255490704003209, 0.057823837964578795, 0.057823837964578795, 0.057823837964578795, 0.057823837964578795, 0.057823837964578795, 0.057823837964578795, 0.057823837964578795, 0.057823837964578795, 0.057823837964578795, 0.057823837964578795, 0.057823837964578795, 0.057823837964578795, 0.057823837964578795, 0.07255490704003209, 0.057823837964578795, 0.057823837964578795, 0.057823837964578795, 0.07255490704003209, 0.057823837964578795, 0.057823837964578795, 0.057823837964578795, 0.057823837964578795, 0.057823837964578795, 0.057823837964578795, 0.057823837964578795, 0.057823837964578795, 0.057823837964578795, 0.057823837964578795, 0.057823837964578795, 0.057823837964578795, 0.07255490704003209, 0.057823837964578795, 0.09657636948546466, 0.09657636948546466, 0.057823837964578795, 0.057823837964578795, 0.057823837964578795, 0.057823837964578795, 0.07255490704003209, 0.057823837964578795, 0.057823837964578795, 0.057823837964578795, 0.057823837964578795, 0.057823837964578795, 0.057823837964578795, 0.057823837964578795, 0.057823837964578795, 0.07255490704003209, 0.057823837964578795, 0.057823837964578795, 0.057823837964578795, 0.057823837964578795, 0.057823837964578795, 0.057823837964578795, 0.057823837964578795, 0.057823837964578795, 0.057823837964578795, 0.057823837964578795, 0.057823837964578795, 0.057823837964578795, 0.057823837964578795, 0.057823837964578795, 0.057823837964578795, 0.057823837964578795, 0.057823837964578795, 0.07255490704003209, 0.057823837964578795, 0.057823837964578795, 0.057823837964578795, 0.057823837964578795, 0.057823837964578795, 0.057823837964578795, 0.057823837964578795, 0.057823837964578795, 0.07255490704003209, 0.057823837964578795, 0.09657636948546466, 0.057823837964578795, 0.057823837964578795, 0.057823837964578795, 0.057823837964578795, 0.057823837964578795, 0.057823837964578795, 0.057823837964578795, 0.057823837964578795, 0.057823837964578795, 0.057823837964578795, 0.057823837964578795, 0.057823837964578795, 0.057823837964578795, 0.057823837964578795, 0.057823837964578795, 0.057823837964578795, 0.057823837964578795, 0.057823837964578795, 0.057823837964578795, 0.07255490704003209, 0.057823837964578795)
1729873581.4142478	3	(0.09657636948546466, 0.09657636948546466, 0.09657636948546466, 0.09657636948546466, 0.057823837964578795, 0.057823837964578795, 0.057823837964578795, 0.057823837964578795, 0.057823837964578795, 0.057823837964578795, 0.057823837964578795, 0.03600733628519792, 0.057823837964578795, 0.057823837964578795, 0.09657636948546466, 0.07255490704003209, 0.07255490704003209, 0.057823837964578795, 0.057823837964578795, 0.057823837964578795, 0.057823837964578795, 0.09657636948546466, 0.07255490704003209, 0.09657636948546466, 0.07255490704003209, 0.07255490704003209, 0.07255490704003209, 0.07255490704003209, 0.09657636948546466, 0.057823837964578795, 0.057823837964578795, 0.057823837964578795, 0.07255490704003209, 0.07255490704003209, 0.07255490704003209, 0.07255490704003209, 0.07255490704003209, 0.07255490704003209, 0.09657636948546466, 0.057823837964578795, 0.057823837964578795, 0.07255490704003209, 0.09657636948546466, 0.09657636948546466, 0.057823837964578795, 0.057823837964578795, 0.07255490704003209, 0.07255490704003209, 0.09657636948546466, 0.09657636948546466, 0.09657636948546466, 0.09657636948546466, 0.07255490704003209, 0.057823837964578795, 0.09657636948546466, 0.057823837964578795, 0.057823837964578795, 0.057823837964578795, 0.07255490704003209, 0.07255490704003209, 0.057823837964578795, 0.09908650015083276, 0.09657636948546466, 0.07255490704003209, 0.07255490704003209, 0.057823837964578795, 0.057823837964578795, 0.057823837964578795, 0.08171820610409619, 0.057823837964578795, 0.057823837964578795, 0.057823837964578795, 0.09657636948546466, 0.057823837964578795, 0.07255490704003209, 0.07255490704003209, 0.07255490704003209, 0.07255490704003209, 0.07255490704003209, 0.07255490704003209, 0.057823837964578795, 0.057823837964578795, 0.057823837964578795, 0.07255490704003209, 0.09657636948546466, 0.057823837964578795, 0.057823837964578795, 0.09657636948546466, 0.1277017728974864, 0.07255490704003209, 0.057823837964578795, 0.09657636948546466, 0.057823837964578795, 0.07255490704003209, 0.09657636948546466, 0.020518524946035344, 0.057823837964578795, 0.057823837964578795, 0.09657636948546466, 0.07255490704003209)
1729873606.7170608	4	(0.1277017728974864, 0.09908650015083276, 0.09657636948546466, 0.09657636948546466, 0.057823837964578795, 0.057823837964578795, 0.057823837964578795, 0.057823837964578795, 0.057823837964578795, 0.5453761084209177, 0.057823837964578795, 0.057823837964578795, 0.057823837964578795, 0.057823837964578795, 0.09657636948546466, 0.09657636948546466, 0.09657636948546466, 0.057823837964578795, 0.09657636948546466, 0.09657636948546466, 0.09657636948546466, 0.09657636948546466, 0.09657636948546466, 0.09657636948546466, 0.09657636948546466, 0.1277017728974864, 0.09657636948546466, 0.057823837964578795, 0.09657636948546466, 0.09657636948546466, 0.057823837964578795, 0.057823837964578795, 0.07255490704003209, 0.09657636948546466, 0.09657636948546466, 0.09657636948546466, 0.057823837964578795, 0.1277017728974864, 0.0676114909647868, 0.09657636948546466, 0.07255490704003209, 0.057823837964578795, 0.09908650015083276, 0.09657636948546466, 0.09657636948546466, 0.09657636948546466, 0.09657636948546466, 0.09657636948546466, 0.09657636948546466, 0.07315123617341723, 0.09657636948546466, 0.057823837964578795, 0.05918258121539055, 0.09657636948546466, 0.09657636948546466, 0.09657636948546466, 0.09908650015083276, 0.09657636948546466, 0.09657636948546466, 0.09657636948546466, 0.09657636948546466, 0.09657636948546466, 0.1277017728974864, 0.09657636948546466, 0.09657636948546466, 0.09657636948546466, 0.06360195175284222, 0.09657636948546466, 0.0536201408094803, 0.057823837964578795, 0.1277017728974864, 0.09657636948546466, 0.09657636948546466, 0.09657636948546466, 0.09657636948546466, 0.09908650015083276, 0.09657636948546466, 0.09657636948546466, 0.09657636948546466, 0.09657636948546466, 0.07255490704003209, 0.1277017728974864, 0.09657636948546466, 0.1409831464571466, 0.057823837964578795, 0.09908650015083276, 0.09657636948546466, 0.1277017728974864, 0.0536201408094803, 0.09657636948546466, 0.057823837964578795, 0.09657636948546466, 0.09657636948546466, 0.03867317178475105, 0.09657636948546466, 0.1277017728974864, 0.09908650015083276, 0.057823837964578795, 0.07255490704003209, 0.107966371202868)
1729873630.32783	5	(0.5453761084209177, 0.1409831464571466, 0.1277017728974864, 0.1277017728974864, 0.057823837964578795, 0.057823837964578795, 0.057823837964578795, 0.057823837964578795, 0.057823837964578795, 0.057823837964578795, 0.5488896276951927, 0.057823837964578795, 0.057823837964578795, 0.057823837964578795, 0.1277017728974864, 0.1277017728974864, 0.09657636948546466, 0.1277017728974864, 0.1277017728974864, 0.06872362434819779, 0.1277017728974864, 0.10700881896495451, 0.09657636948546466, 0.09657636948546466, 0.1277017728974864, 0.1277017728974864, 0.1277017728974864, 0.057823837964578795, 0.09657636948546466, 0.09657636948546466, 0.1277017728974864, 0.1277017728974864, 0.5453761084209177, 0.09908650015083276, 0.09908650015083276, 0.11394980888887585, 0.09657636948546466, 0.07255490704003209, 0.09657636948546466, 0.057823837964578795, 0.09908650015083276, 0.09908650015083276, 0.0603336059836066, 0.1277017728974864, 0.09908650015083276, 0.04137675027774612, 0.09657636948546466, 0.09657636948546466, 0.5453761084209177, 0.057823837964578795, 0.5453761084209177, 0.057823837964578795, 0.1277017728974864, 0.09657636948546466, 0.09657636948546466, 0.1277017728974864, 0.1277017728974864, 0.1277017728974864, 0.09908650015083276, 0.1409831464571466, 0.057823837964578795, 0.3821214683954386, 0.09657636948546466, 0.04822251058319271, 0.057823837964578795, 0.1409831464571466, 0.057823837964578795, 0.1277017728974864, 0.1277017728974864, 0.057823837964578795, 0.09657636948546466, 0.09657636948546466, 0.09657636948546466, 0.09908650015083276, 0.057823837964578795, 0.1409831464571466, 0.1277017728974864, 0.07255490704003209, 0.08892984586562913, 0.09657636948546466, 0.07255490704003209, 0.031756877500563996, 0.03741040070469659, 0.1409831464571466, 0.09657636948546466, 0.1409831464571466, 0.10954356583315883, 0.09657636948546466, 0.057823837964578795, 0.09657636948546466, 0.02180408053680427, 0.036462409782093363, 0.04320944971123353, 0.09908650015083276, 0.1277017728974864, 0.09657636948546466, 0.1277017728974864, 0.09657636948546466, 0.057823837964578795, 0.5453761084209177)
1729873653.6136217	6	(0.5488896276951927, 0.5453761084209177, 0.5453761084209177, 0.5453761084209177, 0.057823837964578795, 0.057823837964578795, 0.057823837964578795, 0.057823837964578795, 0.057823837964578795, 0.057823837964578795, 0.057823837964578795, 0.057823837964578795, 0.057823837964578795, 0.057823837964578795, 0.057823837964578795, 0.1409831464571466, 0.1409831464571466, 0.1277017728974864, 0.1409831464571466, 0.1409831464571466, 0.1409831464571466, 0.5488896276951927, 0.1409831464571466, 0.5453761084209177, 0.1409831464571466, 0.1409831464571466, 0.5488896276951927, 0.1277017728974864, 0.5453761084209177, 0.5453761084209177, 0.1277017728974864, 0.057823837964578795, 0.5453761084209177, 0.16319822057586708, 0.057823837964578795, 0.5488896276951927, 0.057823837964578795, 0.1351306212508141, 0.5453761084209177, 0.1277017728974864, 0.057823837964578795, 0.09657636948546466, 0.1409831464571466, 0.1409831464571466, 0.0700841030795567, 0.1409831464571466, 0.0374943242213408, 0.5453761084209177, 0.1277017728974864, 0.5453761084209177, 0.1277017728974864, 0.057823837964578795, 0.5488896276951927, 0.057823837964578795, 0.057823837964578795, 0.5453761084209177, 0.1277017728974864, 0.1277017728974864, 0.5453761084209177, 0.5488896276951927, 0.1277017728974864, 0.5488896276951927, 0.057823837964578795, 0.133241554980974, 0.1277017728974864, 0.1409831464571466, 0.5453761084209177, 0.5453761084209177, 0.5454773357621199, 0.5453761084209177, 0.5453761084209177, 0.057823837964578795, 0.057823837964578795, 0.5453761084209177, 0.1409831464571466, 0.5488896276951927, 0.5488896276951927, 0.1277017728974864, 0.1409831464571466, 0.5453761084209177, 0.1409831464571466, 0.5453761084209177, 0.1277017728974864, 0.1277017728974864, 0.5453761084209177, 0.1277017728974864, 0.5488896276951927, 0.1409831464571466, 0.5453761084209177, 0.5453761084209177, 0.5455113624232412, 0.057823837964578795, 0.1277017728974864, 0.5453761084209177, 0.5453761084209177, 0.5453761084209177, 0.3821214683954386, 0.5453761084209177, 0.5453761084209177, 0.5453761084209177)
1729873677.6866348	7	(0.5488896276951927, 0.5488896276951927, 0.5488896276951927, 0.5488896276951927, 0.057823837964578795, 0.057823837964578795, 0.057823837964578795, 0.057823837964578795, 0.057823837964578795, 0.057823837964578795, 0.057823837964578795, 0.057823837964578795, 0.057823837964578795, 0.057823837964578795, 0.08843352821197215, 0.5488896276951927, 0.5488896276951927, 0.5453761084209177, 0.5488896276951927, 0.5453761084209177, 0.5488896276951927, 0.5488896276951927, 0.5453761084209177, 0.5488896276951927, 0.5453761084209177, 0.5488896276951927, 0.5453761084209177, 0.5453761084209177, 0.5488896276951927, 0.057823837964578795, 0.5488896276951927, 0.5488896276951927, 0.5488896276951927, 0.5453761084209177, 0.5453761084209177, 0.5488896276951927, 0.5488896276951927, 0.5488896276951927, 0.5453761084209177, 0.5488896276951927, 0.5488896276951927, 0.5488896276951927, 0.5488896276951927, 0.5488896276951927, 0.5488896276951927, 0.057823837964578795, 0.5488896276951927, 0.5488896276951927, 0.5488896276951927, 0.5453761084209177, 0.5488896276951927, 0.5488896276951927, 0.5488896276951927, 0.5488896276951927, 0.5488896276951927, 0.5453761084209177, 0.5453761084209177, 0.5488896276951927, 0.5453761084209177, 0.5488896276951927, 0.5453761084209177, 0.5453761084209177, 0.5488896276951927, 0.5488896276951927, 0.21746953278771242, 0.5488896276951927, 0.5453761084209177, 0.5453761084209177, 0.5488896276951927, 0.03674940908885527, 0.5488896276951927, 0.5488896276951927, 0.5488896276951927, 0.5488896276951927, 0.5488896276951927, 0.5488896276951927, 0.5453761084209177, 0.5453761084209177, 0.5488896276951927, 0.5488896276951927, 0.5488896276951927, 0.5453761084209177, 0.057823837964578795, 0.5488896276951927, 0.5488896276951927, 0.5488896276951927, 0.5453761084209177, 0.5488896276951927, 0.5454773357621199, 0.5488896276951927, 0.5488896276951927, 0.5453761084209177, 0.5488896276951927, 0.5488896276951927, 0.5488896276951927, 0.5453761084209177, 0.5488896276951927, 0.5453761084209177, 0.5453761084209177, 0.1409831464571466)
1729873701.4982045	8	(0.5488896276951927, 0.5488896276951927, 0.5488896276951927, 0.5488896276951927, 0.057823837964578795, 0.057823837964578795, 0.057823837964578795, 0.057823837964578795, 0.057823837964578795, 0.057823837964578795, 0.057823837964578795, 0.057823837964578795, 0.057823837964578795, 0.057823837964578795, 0.5488896276951927, 0.5488896276951927, 0.5488896276951927, 0.5488896276951927, 0.5488896276951927, 0.3785801663326389, 0.5488896276951927, 0.5488896276951927, 0.5488896276951927, 0.5488896276951927, 0.5488896276951927, 0.5488896276951927, 0.5488896276951927, 0.5488896276951927, 0.5488896276951927, 0.5488896276951927, 0.5488896276951927, 0.5488896276951927, 0.5454773357621199, 0.5488896276951927, 0.5488896276951927, 0.5488896276951927, 0.5488896276951927, 0.5488896276951927, 0.5488896276951927, 0.5488896276951927, 0.5488896276951927, 0.5488896276951927, 0.5488896276951927, 0.5488896276951927, 0.057823837964578795, 0.057823837964578795, 0.5488896276951927, 0.5488896276951927, 0.5488896276951927, 0.5488896276951927, 0.5488896276951927, 0.5488896276951927, 0.5488896276951927, 0.5488896276951927, 0.5488896276951927, 0.5488896276951927, 0.5488896276951927, 0.5488896276951927, 0.5488896276951927, 0.5488896276951927, 0.057823837964578795, 0.5488896276951927, 0.5488896276951927, 0.5488896276951927, 0.5488896276951927, 0.057823837964578795, 0.5488896276951927, 0.5488896276951927, 0.5488896276951927, 0.5488896276951927, 0.5488896276951927, 0.5488896276951927, 0.5488896276951927, 0.5488896276951927, 0.5488896276951927, 0.5488896276951927, 0.5488896276951927, 0.5488896276951927, 0.5488896276951927, 0.5488896276951927, 0.5488896276951927, 0.5488896276951927, 0.5488896276951927, 0.5488896276951927, 0.5488896276951927, 0.5488896276951927, 0.5488896276951927, 0.5488896276951927, 0.5488896276951927, 0.5488896276951927, 0.5488896276951927, 0.5488896276951927, 0.5488896276951927, 0.5488896276951927, 0.5488896276951927, 0.21746953278771242, 0.5488896276951927, 0.057823837964578795, 0.5488896276951927, 0.5488896276951927)
1729873725.0405326	9	(0.5488896276951927, 0.5488896276951927, 0.5488896276951927, 0.5488896276951927, 0.057823837964578795, 0.057823837964578795, 0.057823837964578795, 0.057823837964578795, 0.057823837964578795, 0.04638582454386486, 0.057823837964578795, 0.057823837964578795, 0.057823837964578795, 0.057823837964578795, 0.5488896276951927, 0.5488896276951927, 0.5488896276951927, 0.5488896276951927, 0.1001972563240896, 0.057823837964578795, 0.21746953278771242, 0.5488896276951927, 0.5488896276951927, 0.5488896276951927, 0.5488896276951927, 0.5488896276951927, 0.057823837964578795, 0.5488896276951927, 0.1001972563240896, 0.5488896276951927, 0.057823837964578795, 0.5488896276951927, 0.5488896276951927, 0.5488896276951927, 0.5488896276951927, 0.5488896276951927, 0.5488896276951927, 0.5488896276951927, 0.057823837964578795, 0.5488896276951927, 0.5488896276951927, 0.5488896276951927, 0.5488896276951927, 0.5488896276951927, 0.5488896276951927, 0.5488896276951927, 0.5488896276951927, 0.1001972563240896, 0.5488896276951927, 0.5488896276951927, 0.5488896276951927, 0.5488896276951927, 0.5488896276951927, 0.5488896276951927, 0.5488896276951927, 0.5488896276951927, 0.5488896276951927, 0.5488896276951927, 0.057823837964578795, 0.5488896276951927, 0.5488896276951927, 0.5488896276951927, 0.5488896276951927, 0.5488896276951927, 0.5488896276951927, 0.5488896276951927, 0.5488896276951927, 0.5488896276951927, 0.5488896276951927, 0.41921867122534906, 0.5488896276951927, 0.5488896276951927, 0.5488896276951927, 0.5488896276951927, 0.5488896276951927, 0.5488896276951927, 0.5488896276951927, 0.5488896276951927, 0.5488896276951927, 0.5488896276951927, 0.5488896276951927, 0.5488896276951927, 0.5488896276951927, 0.5488896276951927, 0.5488896276951927, 0.5488896276951927, 0.1001972563240896, 0.5488896276951927, 0.5488896276951927, 0.5488896276951927, 0.5488896276951927, 0.5488896276951927, 0.5488896276951927, 0.5488896276951927, 0.5488896276951927, 0.5488896276951927, 0.5488896276951927, 0.5488896276951927, 0.5488896276951927, 0.5488896276951927)
